[11:24:56]设备[ID107Plus HR]E7:C1:25:A9:23:99连接了.....
[11:37:04] b3 65
[11:37:05] b3 65
[11:37:06] b3 65
[11:37:07] b3 65
[11:37:08] b3 65
[11:37:09] b2 65
[11:37:10] b2 65
[11:37:11] b3 65
[11:37:12] b3 65
[11:37:13] b5 65
[11:37:14] b5 65
[11:37:15] b6 65
[11:37:16] b7 65
[11:37:17] b7 65
[11:37:18] b7 65
[11:37:19] b7 65
[11:37:20] b6 65
[11:37:21] b6 65
[11:37:22] b6 65
[11:37:23] b6 65
[11:37:24] b5 65
[11:37:25] b5 65
[11:37:26] b6 65
[11:37:27] b6 65
[11:37:28] b5 65
[11:37:29] b5 65
[11:37:30] b5 65
[11:37:31] b6 65
[11:37:32] b7 65
[11:37:33] b7 65
[11:37:34] b7 65
[11:37:35] b7 65
[11:37:36] b6 65
[11:37:37] b6 65
[11:37:38] b5 65
[11:37:39] b5 65
[11:37:40] b5 65
[11:37:41] b4 65
[11:37:42] b4 65
[11:37:43] b4 65
[11:37:44] b4 65
[11:37:45] b3 65
[11:37:46] b3 65
[11:37:47] b2 65
[11:37:48] b2 65
[11:37:49] b2 65
[11:37:50] b2 65
[11:37:51] b2 65
[11:37:52] b2 65
[11:37:53] b3 65
[11:37:54] b3 65
[11:37:55] b3 65
[11:37:56] b4 65
[11:37:57] b4 65
[11:37:58] b4 65
[11:37:59] b5 65
[11:38:00] b5 65
[11:38:01] b5 65
[11:38:02] b5 65
[11:38:03] b5 65
[11:38:04] b5 65
[11:38:05] b6 65
[11:38:06] b6 65
[11:38:07] b6 65
[11:38:08] b5 65
[11:38:09] b5 65
[11:38:10] b5 65
[11:38:11] b4 65
[11:38:12] b4 65
[11:38:13] b4 65
[11:38:14] b4 65
[11:38:15] b5 65
[11:38:16] b6 65
[11:38:17] b7 65
[11:38:18] b7 65
[11:38:19] b7 65
[11:38:20] b7 65
[11:38:21] b7 65
[11:38:22] b7 65
[11:38:23] b7 65
[11:38:24] b7 65
[11:38:25] b7 65
[11:38:26] b8 65
[11:38:27] b8 65
[11:38:28] b8 65
[11:38:29] b7 65
[11:38:30] b6 65
[11:38:31] b6 65
[11:38:32] b6 65
[11:38:33] b6 65
[11:38:34] b6 65
[11:38:35] b6 65
[11:38:36] b6 65
[11:38:37] b6 65
[11:38:38] b6 65
[11:38:39] b6 65
[11:38:40] b7 65
[11:38:41] b7 65
[11:38:42] b8 65
[11:38:43] b8 65
[11:38:44] b6 65
[11:38:45] b6 65
[11:38:46] b5 65
[11:38:47] b5 65
[11:38:48] b5 65
[11:38:49] b6 65
[11:38:50] b6 65
[11:38:51] b5 65
[11:38:52] b5 65
[11:38:53] b5 65
[11:38:54] b4 65
[11:38:55] b4 65
[11:38:56] b3 65
[11:38:57] b3 65
[11:38:58] b3 65
[11:38:59] b3 65
[11:39:00] b2 65
[11:39:01] b2 65
[11:39:02] b1 65
[11:39:03] b1 65
[11:39:04] b1 65
[11:39:05] b2 65
[11:39:06] b2 65
[11:39:07] b2 65
[11:39:08] b2 65
[11:39:09] b2 65
[11:39:10] b2 65
[11:39:11] b1 65
[11:39:12] b1 65
[11:39:13] af 65
[11:39:14] ae 65
[11:39:15] ad 65
[11:39:16] ab 65
[11:39:17] aa 65
[11:39:18] aa 65
[11:39:19] a9 65
[11:39:20] a9 65
[11:39:21] a9 65
[11:39:22] a9 65
[11:39:23] aa 65
[11:39:24] aa 65
[11:39:25] aa 65
[11:39:26] ab 65
[11:39:27] aa 65
[11:39:28] aa 65
[11:39:29] aa 65
[11:39:30] aa 65
[11:39:31] aa 65
[11:39:32] a9 65
[11:39:33] a9 65
[11:39:34] a8 65
[11:39:35] a8 65
[11:39:36] a8 65
[11:39:37] a8 65
[11:39:38] a8 65
[11:39:39] a8 65
[11:39:40] a8 65
[11:39:41] a8 65
[11:39:42] a7 65
[11:39:43] a6 65
[11:39:44] a6 65
[11:39:45] a5 65
[11:39:46] a4 65
[11:39:47] a4 65
[11:39:48] a5 65
[11:39:49] a6 65
[11:39:50] a6 65
[11:39:51] a5 65
[11:39:52] a6 65
[11:39:53] a7 65
[11:39:54] a8 65
[11:39:55] a8 65
[11:39:56] a8 65
[11:39:57] a7 65
[11:39:58] a7 65
[11:39:59] a7 65
[11:40:00] a8 65
[11:40:01] a9 65
[11:40:02] a9 65
[11:40:03] a9 65
[11:40:04] a9 65
[11:40:05] a9 65
[11:40:06] a9 65
[11:40:07] aa 65
[11:40:08] aa 65
[11:40:09] aa 65
[11:40:10] aa 65
[11:40:11] a9 65
[11:40:12] a9 65
[11:40:13] a9 65
[11:40:14] a9 65
[11:40:15] aa 65
[11:40:16] aa 65
[11:40:17] ab 65
[11:40:18] ac 65
[11:40:19] ad 65
[11:40:20] ad 65
[11:40:21] ae 65
[11:40:22] ae 65
[11:40:23] ae 65
[11:40:24] ae 65
[11:40:25] ae 65
[11:40:26] af 65
[11:40:27] af 65
[11:40:28] b0 65
[11:40:29] b0 65
[11:40:30] b1 65
[11:40:31] b1 65
[11:40:32] b2 65
[11:40:33] b1 65
[11:40:34] b1 65
[11:40:35] b1 65
[11:40:36] b2 65
[11:40:37] b2 65
[11:40:38] b3 65
[11:40:39] b4 65
[11:40:40] b5 65
[11:40:41] b6 65
[11:40:42] b6 65
[11:40:43] b6 65
[11:40:44] b7 65
[11:40:45] b6 65
[11:40:46] b7 65
[11:40:47] b7 65
[11:40:48] b8 65
[11:40:49] b9 65
[11:40:50] b9 65
[11:40:51] b9 65
[11:40:52] b9 65
[11:40:53] b9 65
[11:40:54] ba 65
[11:40:55] b9 65
[11:40:56] ba 65
[11:40:57] b9 65
[11:40:58] b9 65
[11:40:59] b9 65
[11:41:00] b9 65
[11:41:01] b9 65
[11:41:02] ba 65
[11:41:03] ba 65
[11:41:04] bb 65
