[16:32:42]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[16:32:47]设备[C5:F7:76:AF:E2:E0断开了.....
[16:32:59]设备[ID107Plus HR]C5:F7:76:AF:E2:E0连接了.....
[16:33:16] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 65 1a 5e 00 02 91 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 5e 1a 5c 00 02 92 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 62 1a 65 00 02 93 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 5c 1a 61 00 02 94 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 58 1a 52 00 02 95 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 63 1a 61 00 02 96 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 64 1a 5e 00 02 97 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 5e 1a 58 00 02 98 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 64 1a 60 00 02 99 
[16:33:17] 00 9a 60 81 79 60 81 79 60 81 79 60 81 79 1a 58 1a 57 00 02 9a 
[16:33:17] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 52 1a 58 00 01 9b 
[16:33:17] 00 5a 60 81 79 60 81 79 60 80 79 60 81 79 1a 5e 1a 62 00 01 9c 
[16:33:17] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 5c 1a 67 00 01 9d 
[16:33:18] 00 5a 60 81 79 60 80 79 60 80 79 60 81 79 1a 64 1a 58 00 01 9e 
[16:33:18] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 6a 1a 6a 00 01 9f 
[16:33:18] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 69 1a 6e 00 01 a0 
[16:33:18] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 66 1a 6a 00 01 a1 
[16:33:18] 00 5a 61 81 79 5f 81 78 5e 81 78 60 81 79 1a 69 1a 67 00 01 a2 
[16:33:18] 00 5a 60 81 79 60 81 79 60 81 79 60 80 79 1a 61 1a 6a 00 01 a3 
[16:33:18] 00 5a 61 80 79 61 80 79 60 81 79 60 81 79 1a 66 1a 6f 00 01 a4 
[16:33:18] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 6c 1a 69 00 01 a5 
[16:33:18] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 6f 1a 6c 00 01 a6 
[16:33:18] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 64 1a 61 00 01 a7 
[16:33:18] 00 5a 60 80 79 60 81 79 60 81 79 60 81 79 1a 59 1a 5b 00 01 a8 
[16:33:18] 00 5a 60 81 79 60 81 79 60 81 79 60 81 79 1a 69 1a 70 00 01 a9 
[16:33:18] 00 5d 60 81 79 60 81 79 60 81 79 60 81 79 1a 68 1a 67 00 02 aa 
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 80 79 1a 66 1a 5e 00 02 ab 
[16:33:19] 00 5d 60 80 79 60 81 79 60 81 79 60 81 79 1a 63 1a 61 00 02 ac 
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 81 79 1a 5f 1a 58 00 02 ad 
[16:33:19] 00 5d 60 81 79 60 81 79 60 81 79 60 81 79 1a 55 1a 5a 00 02 ae 
