[14:47:00]设备[ID107Plus HR]C8:30:65:EA:07:D7连接了.....
[14:47:02]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[14:47:28] 49 46 b7 3c 20 21 b7 52 20 20 b7 46 21 20 b7 5c 20 20 00 00 fc 
[14:47:28] 49 46 b7 69 20 20 b7 7d 20 20 b7 79 20 20 b6 e5 20 20 00 00 fd 
[14:47:29] 49 47 b6 51 20 20 b5 c0 20 20 b5 50 20 21 b4 eb 20 20 00 00 fe 
[14:47:29] 49 47 b4 8b 21 21 b4 58 21 21 b4 0c 21 21 b3 c3 21 21 00 00 ff 
[14:47:29] 49 47 b3 95 21 21 b3 60 21 21 b3 4a 21 21 b3 1e 20 20 00 00 00 
[14:47:29] 49 47 b3 0d 20 21 b2 dd 21 21 b2 cb 21 20 b2 b2 20 20 00 00 01 
[14:47:30] 49 47 b2 b1 20 20 b2 8d 20 20 b2 4d 20 20 b1 a2 20 20 00 00 02 
[14:47:30] 49 47 b0 c9 21 21 b0 36 21 21 af a2 20 20 af 4d 20 21 00 00 03 
[14:47:30] 49 47 af 04 21 20 ae b2 21 21 ae 82 20 20 ae 6c 20 20 00 00 04 
[14:47:30] 49 47 ae 6c 21 21 ae 87 21 21 ae 90 21 21 ae a6 20 21 00 00 05 
[14:47:31] 49 49 ae c4 21 21 ae da 21 21 ae f1 21 21 af 13 20 21 00 00 06 
[14:47:31] 49 49 af 4b 21 21 af 69 21 20 af 2a 20 20 ae a7 20 20 00 00 07 
[14:47:31] 49 49 ae 33 20 20 ad de 20 20 ad c9 20 20 ad bf 20 20 00 00 08 
[14:47:31] 49 49 ad c3 20 20 ad b9 20 20 ad cb 20 20 ad b9 20 20 00 00 09 
[14:47:31] 49 49 ad dc 20 20 ad fc 20 20 ae 10 20 20 ae 47 20 20 00 00 0a 
[14:47:31] 49 49 ae 77 20 20 ae 88 20 20 ae c5 20 20 ae db 20 20 00 00 0b 
[14:47:31] 49 49 af 0f 20 20 ae eb 20 20 ae 7c 21 20 ae 0e 21 20 00 00 0c 
[14:47:31] 49 49 ad e8 20 20 ad e8 20 21 ad e4 21 20 ad fd 21 20 00 00 0d 
[14:47:32] 49 4a ae 10 21 21 ae 25 21 20 ae 45 20 20 ae 73 20 20 00 00 0e 
[14:47:32] 49 4a ae a0 20 20 ae d2 20 21 ae f4 21 20 af 2b 20 20 00 00 0f 
[14:47:32] 49 4a af 6d 20 21 af a8 21 20 af f4 20 20 b0 24 21 21 00 00 10 
[14:47:32] 49 4a b0 1b 21 21 af d5 21 20 af b5 20 20 af 9b 20 21 00 00 11 
[14:47:32] 49 4a af b3 21 21 af ba 21 21 af e4 21 21 b0 08 21 20 00 00 12 
[14:47:32] 49 4a b0 30 20 20 b0 44 20 20 b0 80 20 21 b0 9f 21 20 00 00 13 
[14:47:32] 49 4a b0 ed 21 21 b1 23 21 21 b1 45 20 20 b1 87 21 21 00 00 14 
[14:47:33] 49 4b b1 dc 21 20 b2 11 20 20 b2 48 21 21 b2 79 21 21 00 00 15 
[14:47:33] 4a 4b b2 63 21 21 b2 4c 20 20 b2 54 21 21 b2 67 21 21 00 00 16 
[14:47:33] 4a 4b b2 8b 20 20 b2 9a 20 21 b2 b3 21 21 b2 d7 21 20 00 00 17 
[14:47:33] 4a 4b b2 fe 20 20 b3 32 21 21 b3 4d 20 20 b3 8b 21 20 00 00 18 
[14:47:33] 4a 4b b3 c7 20 20 b4 02 20 20 b4 2b 20 20 b4 59 21 20 00 00 19 
[14:47:33] 4a 4b b4 98 20 21 b4 d9 20 21 b5 0b 21 21 b5 12 21 21 00 00 1a 
[14:47:33] 4a 4b b5 26 21 21 b5 33 21 21 b5 5a 20 21 b5 81 21 21 00 00 1b 
[14:47:33] 4a 4b b5 a0 21 21 b5 cf 21 20 b5 fd 20 20 b6 1a 20 20 00 00 1c 
[14:47:34] 4b 4b b6 43 20 20 b6 73 20 20 b6 93 20 21 b6 ad 21 20 00 00 1d 
[14:47:34] 4b 4b b6 d5 20 20 b6 eb 20 20 b7 10 21 21 b7 3b 21 21 00 00 1e 
[14:47:34] 4b 4b b7 56 21 21 b7 74 21 21 b7 5c 20 21 b7 5f 21 21 00 00 1f 
[14:47:34] 4b 4b b7 4c 21 21 b7 66 20 20 b7 78 20 21 b7 8a 21 21 00 00 20 
[14:47:34] 4b 4b b7 91 21 20 b7 a2 20 20 b7 a4 20 21 b7 c1 20 21 00 00 21 
[14:47:34] 4b 4b b7 df 21 21 b8 09 21 21 b8 0f 21 21 b8 3c 21 21 00 00 22 
[14:47:34] 4b 4b b8 57 20 20 b8 65 20 21 b8 80 21 21 b8 9d 21 21 00 00 23 
[14:47:35] 4b 4d b8 92 21 21 b8 65 21 21 b8 47 21 21 b8 22 20 20 00 00 24 
[14:47:35] 4b 4d b8 17 20 20 b8 18 20 20 b8 0f 21 21 b7 f1 20 21 00 00 25 
[14:47:35] 4b 4d b7 f2 21 21 b7 e4 21 20 b7 cf 20 20 b7 c6 20 21 00 00 26 
[14:47:35] 4b 4d b7 d3 21 21 b7 d7 21 21 b7 d5 20 20 b7 dc 20 21 00 00 27 
[14:47:35] 4b 4d b7 dd 21 20 b7 db 20 20 b7 dc 20 20 b7 a4 20 20 00 00 28 
[14:47:35] 4b 4d b7 65 20 20 b7 24 20 20 b7 01 20 20 b6 e9 20 20 00 00 29 
[14:47:36] 4b 4d b6 f0 20 20 b6 da 20 20 b6 c4 20 20 b6 b8 20 20 00 00 2a 
[14:47:36] 4b 4d b6 b7 20 20 b6 a7 20 20 b6 a4 20 20 b6 aa 20 20 00 00 2b 
[14:47:37] 4c 4e b6 ab 20 20 b6 b4 20 20 b6 b1 20 20 b6 b7 20 20 00 00 2c 
[14:47:37] 4c 4e b6 b9 20 20 b6 96 20 20 b6 0f 20 20 b5 99 20 20 00 00 2d 
[14:47:37] 4c 4e b5 45 20 20 b5 04 20 20 b4 d1 20 20 b4 a8 20 20 00 00 2e 
[14:47:37] 4c 4e b4 6a 20 20 b4 4b 20 20 b4 13 20 20 b4 05 20 20 00 00 2f 
[14:47:37] 4c 4e b3 ff 20 20 b3 d6 20 20 b3 cb 20 20 b3 c9 20 20 00 00 30 
[14:47:37] 4c 4e b3 bd 20 20 b3 ca 20 20 b3 b8 20 20 b3 7b 20 20 00 00 31 
[14:47:37] 4c 4e b2 de 20 20 b2 69 20 20 b2 02 20 20 b1 bc 20 20 00 00 32 
[14:47:38] 4d 4f b1 8b 20 20 b1 5f 20 20 b1 2e 20 20 b1 0c 20 20 00 00 33 
[14:47:38] 4d 4f b0 f2 20 20 b0 eb 20 20 b0 e0 20 20 b0 ef 20 20 00 00 34 
[14:47:38] 4d 4f b0 e8 20 20 b1 06 20 20 b1 09 21 20 b1 1d 20 21 00 00 35 
[14:47:38] 4d 4f b0 f1 21 20 b0 68 20 20 af c7 21 20 af 5d 20 20 00 00 36 
[14:47:38] 4d 4f af 08 20 20 ae dc 20 20 ae bc 20 20 ae 87 20 20 00 00 37 
[14:47:38] 4d 4f ae 7a 20 20 ae 62 20 20 ae 5a 20 20 ae 6d 20 20 00 00 38 
[14:47:38] 4d 4f ae 70 20 20 ae 81 20 20 ae 81 20 20 ae 95 20 20 00 00 39 
[14:47:38] 4d 4f ae be 20 21 ae da 21 20 ae 85 20 20 ae 11 20 21 00 00 3a 
[14:47:39] 4d 51 ad c8 21 21 ad 98 20 20 ad 97 21 20 ad a0 21 20 00 00 3b 
[14:47:39] 4e 51 ad b1 20 20 ad bb 20 20 ad bf 20 20 ad d6 20 20 00 00 3c 
[14:47:39] 4e 51 ae 10 20 20 ae 31 20 20 ae 60 21 20 ae 93 20 20 00 00 3d 
[14:47:39] 4e 51 ae c5 20 20 ae f5 20 20 af 26 20 20 af 0a 20 20 00 00 3e 
[14:47:39] 4e 51 ae cc 20 20 ae 76 20 20 ae 58 20 20 ae 6a 20 20 00 00 3f 
[14:47:39] 4e 51 ae 69 20 20 ae 62 20 20 ae 75 20 20 ae 7a 20 20 00 00 40 
[14:47:39] 4e 51 ae 9e 20 20 ae cc 21 20 af 05 20 20 af 19 20 20 00 00 41 
[14:47:39] 4e 51 af 49 20 20 af 81 20 20 af b3 20 20 af f2 20 20 00 00 42 
[14:47:40] 50 52 af fc 21 21 af ce 20 21 af b9 21 20 af a1 20 20 00 00 43 
[14:47:40] 50 52 af b8 20 20 af cf 21 21 b0 05 21 20 b0 18 20 20 00 00 44 
[14:47:40] 50 52 b0 3b 20 20 b0 68 20 20 b0 9b 20 20 b0 c1 20 20 00 00 45 
[14:47:40] 50 52 b0 f5 20 21 b1 2c 21 20 b1 6c 20 20 b1 9a 20 20 00 00 46 
[14:47:40] 50 52 b1 db 20 20 b1 ef 20 20 b1 dd 20 20 b1 bc 20 21 00 00 47 
[14:47:40] 50 52 b1 b7 20 20 b1 ca 20 20 b1 db 20 20 b1 e9 21 21 00 00 48 
[14:47:40] 50 52 b2 15 20 20 b2 23 20 20 b2 56 20 20 b2 75 20 20 00 00 49 
[14:47:41] 51 54 b2 a7 20 20 b2 e1 20 20 b3 10 20 20 b3 42 20 20 00 00 4a 
[14:47:41] 51 54 b3 6b 20 20 b3 a2 20 20 b3 b9 20 20 b3 c0 20 20 00 00 4b 
[14:47:41] 51 54 b3 af 20 20 b3 c2 20 20 b3 db 20 20 b3 dc 20 20 00 00 4c 
[14:47:41] 51 54 b3 f4 20 20 b4 21 20 20 b4 3c 20 20 b4 6c 20 20 00 00 4d 
[14:47:41] 51 54 b4 92 20 20 b4 ba 20 20 b4 ed 20 20 b5 10 20 20 00 00 4e 
[14:47:41] 51 54 b5 48 20 20 b5 75 20 20 b5 a7 20 20 b5 c8 20 20 00 00 4f 
[14:47:42] 51 54 b5 d3 20 20 b5 c7 20 20 b5 c4 20 20 b5 c3 20 20 00 00 50 
[14:47:42] 51 54 b5 e9 20 20 b5 f7 20 20 b6 0b 20 20 b6 1b 20 20 00 00 51 
[14:47:43] 52 55 b6 2d 20 20 b6 45 20 20 b6 64 20 20 b6 96 20 20 00 00 52 
[14:47:43] 52 55 b6 b5 20 20 b6 cd 20 20 b7 00 20 20 b7 1d 20 20 00 00 53 
[14:47:43] 52 55 b7 49 20 20 b7 53 20 20 b7 47 20 20 b7 36 20 20 00 00 54 
[14:47:43] 52 55 b7 3e 20 20 b7 3e 20 20 b7 55 20 20 b7 61 20 20 00 00 55 
[14:47:43] 52 55 b7 74 20 20 b7 85 20 20 b7 8d 20 20 b7 a2 20 20 00 00 56 
[14:47:43] 52 55 b7 b6 20 20 b7 da 20 20 b7 e7 20 20 b8 1c 20 20 00 00 57 
[14:47:43] 52 55 b8 2e 20 20 b8 52 20 20 b8 61 20 20 b8 2c 20 20 00 00 58 
[14:47:44] 53 56 b8 04 20 20 b7 f4 20 20 b7 d4 20 20 b7 c0 20 20 00 00 59 
[14:47:44] 53 56 b7 cc 20 20 b7 b5 20 20 b7 c1 20 20 b7 b9 20 20 00 00 5a 
[14:47:44] 53 56 b7 b3 20 20 b7 b2 20 20 b7 d7 20 20 b7 e9 20 20 00 00 5b 
[14:47:44] 53 56 b7 e9 20 20 b7 fd 20 20 b8 0c 20 20 b8 23 20 20 00 00 5c 
[14:47:44] 53 56 b7 f4 20 20 b7 9f 20 20 b7 5c 20 20 b7 2c 20 20 00 00 5d 
[14:47:44] 53 56 b7 0d 20 20 b6 e6 20 20 b6 cc 20 20 b6 b0 20 20 00 00 5e 
[14:47:44] 53 56 b6 93 20 20 b6 98 20 20 b6 8c 20 20 b6 78 20 20 00 00 5f 
[14:47:44] 53 56 b6 87 20 20 b6 94 20 20 b6 8b 20 20 b6 9c 20 20 00 00 60 
[14:47:45] 54 56 b6 aa 20 20 b6 90 20 20 b6 4b 20 20 b5 d5 20 20 00 00 61 
[14:47:45] 54 56 b5 80 20 20 b5 4a 20 20 b5 1c 20 20 b4 f3 20 20 00 00 62 
[14:47:45] 54 56 b4 cc 20 20 b4 a8 20 20 b4 88 20 20 b4 72 20 20 00 00 63 
[14:47:45] 54 56 b4 66 20 20 b4 5a 20 20 b4 53 20 20 b4 6d 20 20 00 00 64 
[14:47:45] 54 56 b4 57 20 20 b4 63 20 20 b4 69 20 20 b4 5c 20 20 00 00 65 
[14:47:45] 54 56 b3 f0 20 20 b3 89 20 20 b3 25 20 20 b3 01 20 20 00 00 66 
[14:47:45] 54 56 b2 de 20 20 b2 c1 20 20 b2 a3 20 20 b2 90 20 20 00 00 67 
[14:47:45] 54 56 b2 81 20 20 b2 71 20 20 b2 6d 20 20 b2 7f 20 20 00 00 68 
[14:47:46] 55 56 b2 89 20 20 b2 99 20 20 b2 a4 20 20 b2 b9 20 20 00 00 69 
[14:47:46] 55 56 b2 d1 21 20 b2 c9 20 20 b2 5e 20 21 b2 16 21 20 00 00 6a 
[14:47:46] 55 56 b1 d6 21 21 b1 c5 21 21 b1 c3 21 21 b1 db 20 20 00 00 6b 
[14:47:46] 55 56 b2 01 20 21 b2 3e 21 21 b2 ba 20 20 b3 10 20 20 00 00 6c 
[14:47:46] 55 56 b3 71 20 20 b3 ad 20 20 b4 01 1f 20 b4 30 21 21 00 00 6d 
[14:47:46] 55 56 b4 46 20 20 b4 4c 21 21 b4 5a 20 20 b4 49 21 21 00 00 6e 
[14:47:46] 55 56 b3 ca 20 1f b3 21 20 21 b2 d2 21 21 b2 b3 21 21 00 00 6f 
[14:47:47] 55 56 b2 c5 20 1f b2 af 20 20 b2 9c 21 21 b2 6a 20 20 00 00 70 
[14:47:47] 55 56 b2 86 21 20 b2 7e 20 20 b2 98 20 1f b2 ad 21 20 00 00 71 
[14:47:47] 55 56 b2 da 20 21 b3 0b 21 21 b3 37 21 20 b3 72 20 20 00 00 72 
[14:47:47] 55 56 b3 94 21 21 b3 c4 21 20 b3 aa 20 20 b3 74 21 21 00 00 73 
[14:47:47] 55 56 b3 5d 21 21 b3 39 21 20 b3 30 21 20 b3 43 21 22 00 00 74 
[14:47:47] 55 56 b3 3a 21 22 b3 24 22 22 b3 37 21 20 b4 2e 20 21 00 00 75 
[14:47:47] 55 56 b6 cb 21 21 b9 40 21 20 ba 95 1f 1f bb 8d 21 22 00 00 76 
[14:47:48] 55 56 bb 8b 21 20 bb 90 1e 1d bb 8f 1d 1e bb 8c 1f 1e 00 00 77 
[14:47:49] 55 56 bb 8c 1e 1d bb 8b 1e 1f bb 8c 20 20 bb 8a 1f 1d 00 00 78 
[14:47:49] 55 56 bb 91 1d 1e bb 91 1f 1f bb 8d 1d 1d bb 8a 1d 1e 00 00 79 
